#       xJ     Jtp_tot
#
  1.031550  -0.000000
  1.031800  -0.000000
  1.032050  -0.000013
  1.032300  -0.000009
  1.032550  -0.000000
  1.032800  -0.000000
  1.033050  -0.000006
  1.033300  -0.000006
  1.033550  -0.000000
  1.033800  -0.000007
  1.034050  -0.000008
  1.034300  -0.000000
  1.034550  -0.000000
  1.034800  -0.000000
  1.035050  -0.000005
  1.035300  -0.000004
  1.035550  -0.000000
  1.035800  -0.000000
  1.036050  -0.000000
  1.036300  -0.000000
  1.036550  -0.000000
  1.036800  -0.000004
  1.037050  -0.000003
  1.037300  -0.000000
  1.037550  -0.000000
  1.037800  -0.000000
  1.038050  -0.000000
  1.038300  -0.000000
  1.038550  -0.000001
  1.038800  -0.000001
  1.039050  -0.000000
  1.039300   0.000000
  1.039550   0.000000
  1.039800   0.000000
  1.040050   0.000000
  1.040300   0.000002
  1.040550   0.000003
  1.040800   0.000000
  1.041050   0.000000
  1.041300   0.000000
  1.041550   0.000000
  1.041800   0.000000
  1.042050   0.000002
  1.042300   0.000003
  1.042550   0.000000
  1.042800   0.000000
  1.043050   0.000000
  1.043300   0.000000
  1.043550   0.000000
  1.043800   0.000001
  1.044050   0.000008
  1.044300   0.000003
  1.044550   0.000000
  1.044800   0.000000
  1.045050   0.000004
  1.045300   0.000011
  1.045550   0.000007
  1.045800   0.000004
  1.046050   0.000006
  1.046300   0.000002
  1.046550   0.000000
  1.046800   0.000005
  1.047050   0.000020
  1.047300   0.000007
  1.047550   0.000000
  1.047800   0.000000
  1.048050   0.000000
  1.048300   0.000000
  1.048550   0.000000
  1.048800   0.000014
  1.049050   0.000006
  1.049300   0.000000
  1.049550   0.000001
  1.049800   0.000006
  1.050050   0.000000
  1.050300   0.000005
  1.050550   0.000020
  1.050800   0.000003
  1.051050   0.000000
  1.051300   0.000000
  1.051550   0.000000
  1.051800   0.000000
  1.052050   0.000000
  1.052300   0.000000
  1.052550   0.000000
  1.052800   0.000000
  1.053050   0.000000
  1.053300   0.000011
  1.053550   0.000029
  1.053800   0.000015
  1.054050   0.000009
  1.054300   0.000010
  1.054550   0.000000
  1.054800   0.000000
  1.055050   0.000019
  1.055300   0.000026
  1.055550   0.000013
  1.055800   0.000011
  1.056050   0.000019
  1.056300   0.000015
  1.056550   0.000002
  1.056800   0.000011
  1.057050   0.000032
  1.057300   0.000014
  1.057550   0.000000
  1.057800   0.000000
  1.058050   0.000000
  1.058300   0.000000
  1.058550   0.000004
  1.058800   0.000034
  1.059050   0.000009
  1.059300   0.000000
  1.059550   0.000000
  1.059800   0.000000
  1.060050   0.000003
  1.060300   0.000010
  1.060550   0.000038
  1.060800   0.000030
  1.061050   0.000000
  1.061300   0.000000
  1.061550   0.000000
  1.061800   0.000000
  1.062050   0.000000
  1.062300   0.000016
  1.062550   0.000023
  1.062800   0.000000
  1.063050   0.000000
  1.063300   0.000020
  1.063550   0.000029
  1.063800   0.000015
  1.064050   0.000003
  1.064300   0.000017
  1.064550   0.000014
  1.064800   0.000000
  1.065050   0.000000
  1.065300   0.000016
  1.065550   0.000000
  1.065800   0.000000
  1.066050   0.000000
  1.066300   0.000000
  1.066550   0.000000
  1.066800   0.000000
  1.067050   0.000031
  1.067300   0.000043
  1.067550   0.000018
  1.067800   0.000000
  1.068050   0.000011
  1.068300   0.000015
  1.068550   0.000025
  1.068800   0.000064
  1.069050   0.000070
  1.069300   0.000037
  1.069550   0.000033
  1.069800   0.000023
  1.070050   0.000000
  1.070300   0.000000
  1.070550   0.000048
  1.070800   0.000050
  1.071050   0.000002
  1.071300   0.000000
  1.071550   0.000000
  1.071800   0.000000
  1.072050   0.000012
  1.072300   0.000072
  1.072550   0.000074
  1.072800   0.000000
  1.073050   0.000000
  1.073300   0.000000
  1.073550   0.000015
  1.073800   0.000000
  1.074050   0.000000
  1.074300   0.000000
  1.074550   0.000000
  1.074800   0.000000
  1.075050   0.000045
  1.075300   0.000059
  1.075550   0.000000
  1.075800   0.000000
  1.076050   0.000028
  1.076300   0.000005
  1.076550   0.000000
  1.076800   0.000060
  1.077050   0.000097
  1.077300   0.000050
  1.077550   0.000004
  1.077800   0.000001
  1.078050   0.000000
  1.078300   0.000000
  1.078550   0.000001
  1.078800   0.000047
  1.079050   0.000019
  1.079300   0.000000
  1.079550   0.000000
  1.079800   0.000000
  1.080050   0.000000
  1.080300   0.000009
  1.080550   0.000081
  1.080800   0.000053
  1.081050   0.000000
  1.081300   0.000004
  1.081550   0.000072
  1.081800   0.000062
  1.082050   0.000019
  1.082300   0.000014
  1.082550   0.000012
  1.082800   0.000000
  1.083050   0.000000
  1.083300   0.000007
  1.083550   0.000018
  1.083800   0.000042
  1.084050   0.000054
  1.084300   0.000010
  1.084550   0.000000
  1.084800   0.000000
  1.085050   0.000040
  1.085300   0.000059
  1.085550   0.000020
  1.085800   0.000009
  1.086050   0.000035
  1.086300   0.000000
  1.086550   0.000000
  1.086800   0.000000
  1.087050   0.000040
  1.087300   0.000011
  1.087550   0.000030
  1.087800   0.000055
  1.088050   0.000000
  1.088300   0.000000
  1.088550   0.000010
  1.088800   0.000080
  1.089050   0.000039
  1.089300   0.000000
  1.089550   0.000017
  1.089800   0.000009
  1.090050   0.000000
  1.090300   0.000047
  1.090550   0.000063
  1.090800   0.000015
  1.091050   0.000000
  1.091300   0.000014
  1.091550   0.000045
  1.091800   0.000000
  1.092050   0.000000
  1.092300   0.000022
  1.092550   0.000001
  1.092800   0.000000
  1.093050   0.000000
  1.093300   0.000038
  1.093550   0.000012
  1.093800   0.000000
  1.094050   0.000000
  1.094300   0.000000
  1.094550   0.000000
  1.094800   0.000000
  1.095050   0.000038
  1.095300   0.000028
  1.095550   0.000000
  1.095800   0.000032
  1.096050   0.000053
  1.096300   0.000000
  1.096550   0.000000
  1.096800   0.000000
  1.097050   0.000000
  1.097300   0.000000
  1.097550   0.000000
  1.097800   0.000001
  1.098050   0.000000
  1.098300   0.000000
  1.098550   0.000030
  1.098800   0.000068
  1.099050   0.000014
  1.099300   0.000000
  1.099550   0.000000
  1.099800   0.000000
  1.100050   0.000000
  1.100300   0.000000
  1.100550   0.000007
  1.100800   0.000000
  1.101050   0.000000
  1.101300   0.000000
  1.101550   0.000000
  1.101800   0.000000
  1.102050   0.000070
  1.102300   0.000060
  1.102550   0.000000
  1.102800   0.000000
  1.103050   0.000052
  1.103300   0.000051
  1.103550   0.000022
  1.103800   0.000075
  1.104050   0.000087
  1.104300   0.000000
  1.104550   0.000000
  1.104800   0.000029
  1.105050   0.000088
  1.105300   0.000080
  1.105550   0.000064
  1.105800   0.000083
  1.106050   0.000013
  1.106300   0.000000
  1.106550   0.000021
  1.106800   0.000213
  1.107050   0.000169
  1.107300   0.000046
  1.107550   0.000043
  1.107800   0.000027
  1.108050   0.000002
  1.108300   0.000071
  1.108550   0.000093
  1.108800   0.000000
  1.109050   0.000000
  1.109300   0.000000
  1.109550   0.000082
  1.109800   0.000092
  1.110050   0.000124
  1.110300   0.000130
  1.110550   0.000019
  1.110800   0.000000
  1.111050   0.000056
  1.111300   0.000065
  1.111550   0.000036
  1.111800   0.000051
  1.112050   0.000061
  1.112300   0.000017
  1.112550   0.000000
  1.112800   0.000030
  1.113050   0.000065
  1.113300   0.000000
  1.113550   0.000000
  1.113800   0.000000
  1.114050   0.000000
  1.114300   0.000050
  1.114550   0.000161
  1.114800   0.000168
  1.115050   0.000013
  1.115300   0.000000
  1.115550   0.000000
  1.115800   0.000077
  1.116050   0.000101
  1.116300   0.000144
  1.116550   0.000119
  1.116800   0.000004
  1.117050   0.000004
  1.117300   0.000146
  1.117550   0.000184
  1.117800   0.000044
  1.118050   0.000000
  1.118300   0.000066
  1.118550   0.000028
  1.118800   0.000046
  1.119050   0.000246
  1.119300   0.000331
  1.119550   0.000233
  1.119800   0.000132
  1.120050   0.000124
  1.120300   0.000151
  1.120550   0.000138
  1.120800   0.000199
  1.121050   0.000313
  1.121300   0.000275
  1.121550   0.000236
  1.121800   0.000379
  1.122050   0.000479
  1.122300   0.000436
  1.122550   0.000366
  1.122800   0.000288
  1.123050   0.000192
  1.123300   0.000163
  1.123550   0.000299
  1.123800   0.000416
  1.124050   0.000382
  1.124300   0.000414
  1.124550   0.000460
  1.124800   0.000338
  1.125050   0.000274
  1.125300   0.000415
  1.125550   0.000519
  1.125800   0.000432
  1.126050   0.000404
  1.126300   0.000514
  1.126550   0.000511
  1.126800   0.000509
  1.127050   0.000679
  1.127300   0.000730
  1.127550   0.000599
  1.127800   0.000629
  1.128050   0.000720
  1.128300   0.000732
  1.128550   0.000791
  1.128800   0.000878
  1.129050   0.000856
  1.129300   0.000676
  1.129550   0.000648
  1.129800   0.000815
  1.130050   0.000881
  1.130300   0.000919
  1.130550   0.001010
  1.130800   0.000993
  1.131050   0.000912
  1.131300   0.000990
  1.131550   0.001161
  1.131800   0.001186
  1.132050   0.001140
  1.132300   0.001199
  1.132550   0.001226
  1.132800   0.001238
  1.133050   0.001415
  1.133300   0.001581
  1.133550   0.001618
  1.133800   0.001669
  1.134050   0.001715
  1.134300   0.001697
  1.134550   0.001774
  1.134800   0.002074
  1.135050   0.002340
  1.135300   0.002319
  1.135550   0.002286
  1.135800   0.002417
  1.136050   0.002486
  1.136300   0.002571
  1.136550   0.002792
  1.136800   0.002941
  1.137050   0.003038
  1.137300   0.003242
  1.137550   0.003529
  1.137800   0.003756
  1.138050   0.003889
  1.138300   0.004117
  1.138550   0.004308
  1.138800   0.004407
  1.139050   0.004722
  1.139300   0.005148
  1.139550   0.005478
  1.139800   0.005771
  1.140050   0.006094
  1.140300   0.006459
  1.140550   0.006844
  1.140800   0.007375
  1.141050   0.007990
  1.141300   0.008394
  1.141550   0.008832
  1.141800   0.009508
  1.142050   0.010135
  1.142300   0.010756
  1.142550   0.011486
  1.142800   0.012204
  1.143050   0.012954
  1.143300   0.013846
  1.143550   0.014857
  1.143800   0.015821
  1.144050   0.016806
  1.144300   0.018086
  1.144550   0.019420
  1.144800   0.020571
  1.145050   0.021896
  1.145300   0.023465
  1.145550   0.024941
  1.145800   0.026536
  1.146050   0.028428
  1.146300   0.030419
  1.146550   0.032285
  1.146800   0.034318
  1.147050   0.036629
  1.147300   0.038885
  1.147550   0.041107
  1.147800   0.043656
  1.148050   0.046240
  1.148300   0.048701
  1.148550   0.051401
  1.148800   0.054251
  1.149050   0.057000
  1.149300   0.059900
  1.149550   0.063044
  1.149800   0.066157
  1.150050   0.069168
  1.150300   0.072495
  1.150550   0.076069
  1.150800   0.079358
  1.151050   0.082474
  1.151300   0.085838
  1.151550   0.089523
  1.151800   0.093319
  1.152050   0.097297
  1.152300   0.101387
  1.152550   0.105046
  1.152800   0.108316
  1.153050   0.111648
  1.153300   0.115233
  1.153550   0.118881
  1.153800   0.122882
  1.154050   0.127092
  1.154300   0.130934
  1.154550   0.134527
  1.154800   0.138014
  1.155050   0.141418
  1.155300   0.144788
  1.155550   0.148123
  1.155800   0.151618
  1.156050   0.155348
  1.156300   0.158847
  1.156550   0.161746
  1.156800   0.164433
  1.157050   0.167231
  1.157300   0.170460
  1.157550   0.173727
  1.157800   0.176434
  1.158050   0.178802
  1.158300   0.181678
  1.158550   0.185318
  1.158800   0.188822
  1.159050   0.192314
  1.159300   0.196122
  1.159550   0.199516
  1.159800   0.202466
  1.160050   0.205249
  1.160300   0.207763
  1.160550   0.210081
  1.160800   0.212050
  1.161050   0.213743
  1.161300   0.215288
  1.161550   0.216606
  1.161800   0.217875
  1.162050   0.218968
  1.162300   0.219933
  1.162550   0.220953
  1.162800   0.222105
  1.163050   0.223234
  1.163300   0.224209
  1.163550   0.225317
  1.163800   0.226716
  1.164050   0.228382
  1.164300   0.230132
  1.164550   0.231386
  1.164800   0.232273
  1.165050   0.233321
  1.165300   0.234876
  1.165550   0.236782
  1.165800   0.238533
  1.166050   0.240156
  1.166300   0.241489
  1.166550   0.241940
  1.166800   0.241798
  1.167050   0.242005
  1.167300   0.242480
  1.167550   0.242901
  1.167800   0.243485
  1.168050   0.244096
  1.168300   0.244871
  1.168550   0.246085
  1.168800   0.247356
  1.169050   0.248411
  1.169300   0.249633
  1.169550   0.251327
  1.169800   0.252363
  1.170050   0.252489
  1.170300   0.252614
  1.170550   0.252876
  1.170800   0.253471
  1.171050   0.254317
  1.171300   0.255024
  1.171550   0.255675
  1.171800   0.256607
  1.172050   0.257934
  1.172300   0.258812
  1.172550   0.258817
  1.172800   0.258819
  1.173050   0.259073
  1.173300   0.259070
  1.173550   0.258780
  1.173800   0.259054
  1.174050   0.259612
  1.174300   0.259854
  1.174550   0.260638
  1.174800   0.261937
  1.175050   0.263037
  1.175300   0.264425
  1.175550   0.265700
  1.175800   0.266050
  1.176050   0.266136
  1.176300   0.266712
  1.176550   0.267635
  1.176800   0.268325
  1.177050   0.269041
  1.177300   0.270224
  1.177550   0.270908
  1.177800   0.270623
  1.178050   0.270537
  1.178300   0.271448
  1.178550   0.272710
  1.178800   0.273736
  1.179050   0.274701
  1.179300   0.275605
  1.179550   0.276121
  1.179800   0.276485
  1.180050   0.276488
  1.180300   0.275859
  1.180550   0.275552
  1.180800   0.276047
  1.181050   0.276359
  1.181300   0.276187
  1.181550   0.276311
  1.181800   0.276944
  1.182050   0.277423
  1.182300   0.277780
  1.182550   0.277983
  1.182800   0.277638
  1.183050   0.277319
  1.183300   0.277573
  1.183550   0.278039
  1.183800   0.278046
  1.184050   0.277959
  1.184300   0.278542
  1.184550   0.279399
  1.184800   0.280166
  1.185050   0.280841
  1.185300   0.281362
  1.185550   0.281853
  1.185800   0.282591
  1.186050   0.283545
  1.186300   0.283976
  1.186550   0.283913
  1.186800   0.283724
  1.187050   0.283411
  1.187300   0.283562
  1.187550   0.283932
  1.187800   0.284303
  1.188050   0.285143
  1.188300   0.286112
  1.188550   0.286770
  1.188800   0.287023
  1.189050   0.287090
  1.189300   0.287629
  1.189550   0.288707
  1.189800   0.289820
  1.190050   0.290717
  1.190300   0.291492
  1.190550   0.292017
  1.190800   0.292418
  1.191050   0.293139
  1.191300   0.293958
  1.191550   0.294462
  1.191800   0.294457
  1.192050   0.294037
  1.192300   0.293935
  1.192550   0.294923
  1.192800   0.296235
  1.193050   0.297357
  1.193300   0.298193
  1.193550   0.297934
  1.193800   0.296930
  1.194050   0.295987
  1.194300   0.295007
  1.194550   0.294153
  1.194800   0.293587
  1.195050   0.293668
  1.195300   0.293975
  1.195550   0.293955
  1.195800   0.294161
  1.196050   0.295052
  1.196300   0.296173
  1.196550   0.296868
  1.196800   0.297299
  1.197050   0.297333
  1.197300   0.296638
  1.197550   0.296269
  1.197800   0.296324
  1.198050   0.296178
  1.198300   0.295927
  1.198550   0.295904
  1.198800   0.296176
  1.199050   0.296411
  1.199300   0.296776
  1.199550   0.296803
  1.199800   0.296292
  1.200050   0.296476
  1.200300   0.297460
  1.200550   0.297972
  1.200800   0.297910
  1.201050   0.298045
  1.201300   0.298076
  1.201550   0.297192
  1.201800   0.296335
  1.202050   0.296183
  1.202300   0.296195
  1.202550   0.296544
  1.202800   0.297602
  1.203050   0.298489
  1.203300   0.298798
  1.203550   0.298935
  1.203800   0.298934
  1.204050   0.298657
  1.204300   0.297933
  1.204550   0.297411
  1.204800   0.297365
  1.205050   0.297317
  1.205300   0.297302
  1.205550   0.297766
  1.205800   0.298848
  1.206050   0.300035
  1.206300   0.301465
  1.206550   0.302863
  1.206800   0.303746
  1.207050   0.304906
  1.207300   0.306034
  1.207550   0.306333
  1.207800   0.306251
  1.208050   0.306134
  1.208300   0.306296
  1.208550   0.306562
  1.208800   0.306691
  1.209050   0.306158
  1.209300   0.305241
  1.209550   0.305126
  1.209800   0.305957
  1.210050   0.307387
  1.210300   0.308996
  1.210550   0.310435
  1.210800   0.311281
  1.211050   0.311356
  1.211300   0.310868
  1.211550   0.310380
  1.211800   0.310985
  1.212050   0.312158
  1.212300   0.313050
  1.212550   0.313909
  1.212800   0.314167
  1.213050   0.313679
  1.213300   0.313509
  1.213550   0.314157
  1.213800   0.315269
  1.214050   0.316668
  1.214300   0.318533
  1.214550   0.320472
  1.214800   0.321735
  1.215050   0.322461
  1.215300   0.323222
  1.215550   0.323697
  1.215800   0.324493
  1.216050   0.325613
  1.216300   0.325508
  1.216550   0.324210
  1.216800   0.323483
  1.217050   0.324126
  1.217300   0.325383
  1.217550   0.327110
  1.217800   0.329383
  1.218050   0.330929
  1.218300   0.331276
  1.218550   0.331110
  1.218800   0.330904
  1.219050   0.330875
  1.219300   0.331462
  1.219550   0.332485
  1.219800   0.332956
  1.220050   0.333569
  1.220300   0.335059
  1.220550   0.336510
  1.220800   0.337261
  1.221050   0.337900
  1.221300   0.339454
  1.221550   0.341228
  1.221800   0.342559
  1.222050   0.343593
  1.222300   0.343997
  1.222550   0.344214
  1.222800   0.344946
  1.223050   0.346193
  1.223300   0.347475
  1.223550   0.348164
  1.223800   0.347664
  1.224050   0.346307
  1.224300   0.344944
  1.224550   0.344395
  1.224800   0.344959
  1.225050   0.346191
  1.225300   0.346938
  1.225550   0.346604
  1.225800   0.346005
  1.226050   0.345628
  1.226300   0.345510
  1.226550   0.345727
  1.226800   0.346167
  1.227050   0.346120
  1.227300   0.345622
  1.227550   0.345685
  1.227800   0.345859
  1.228050   0.345995
  1.228300   0.346921
  1.228550   0.347696
  1.228800   0.347569
  1.229050   0.347328
  1.229300   0.347389
  1.229550   0.347411
  1.229800   0.347170
  1.230050   0.347532
  1.230300   0.347783
  1.230550   0.347428
  1.230800   0.347641
  1.231050   0.348271
  1.231300   0.349016
  1.231550   0.349837
  1.231800   0.350508
  1.232050   0.350305
  1.232300   0.349418
  1.232550   0.349480
  1.232800   0.350265
  1.233050   0.351241
  1.233300   0.352485
  1.233550   0.353654
  1.233800   0.354022
  1.234050   0.353816
  1.234300   0.353532
  1.234550   0.352980
  1.234800   0.352655
  1.235050   0.352865
  1.235300   0.353420
  1.235550   0.354242
  1.235800   0.354834
  1.236050   0.354964
  1.236300   0.354670
  1.236550   0.353989
  1.236800   0.353460
  1.237050   0.353699
  1.237300   0.354746
  1.237550   0.355871
  1.237800   0.356570
  1.238050   0.357577
  1.238300   0.358196
  1.238550   0.357499
  1.238800   0.356799
  1.239050   0.356638
  1.239300   0.356398
  1.239550   0.356387
  1.239800   0.356956
  1.240050   0.357445
  1.240300   0.357272
  1.240550   0.357485
  1.240800   0.357774
  1.241050   0.357011
  1.241300   0.356283
  1.241550   0.356955
  1.241800   0.358134
  1.242050   0.359000
  1.242300   0.359982
  1.242550   0.360222
  1.242800   0.359602
  1.243050   0.359410
  1.243300   0.359607
  1.243550   0.359608
  1.243800   0.359139
  1.244050   0.358708
  1.244300   0.358667
  1.244550   0.359176
  1.244800   0.359803
  1.245050   0.359330
  1.245300   0.358071
  1.245550   0.357676
  1.245800   0.358303
  1.246050   0.358735
  1.246300   0.358773
  1.246550   0.358891
  1.246800   0.358301
  1.247050   0.357513
  1.247300   0.357514
  1.247550   0.357201
  1.247800   0.355980
  1.248050   0.355115
  1.248300   0.354685
  1.248550   0.353543
  1.248800   0.352085
  1.249050   0.351499
  1.249300   0.351430
  1.249550   0.351640
  1.249800   0.351892
  1.250050   0.351153
  1.250300   0.349899
  1.250550   0.349043
  1.250800   0.348268
  1.251050   0.347334
  1.251300   0.346799
  1.251550   0.346623
  1.251800   0.346368
  1.252050   0.346633
  1.252300   0.347459
  1.252550   0.347526
  1.252800   0.346914
  1.253050   0.346062
  1.253300   0.344847
  1.253550   0.343431
  1.253800   0.342013
  1.254050   0.341074
  1.254300   0.340414
  1.254550   0.339552
  1.254800   0.338687
  1.255050   0.338666
  1.255300   0.338965
  1.255550   0.339868
  1.255800   0.341497
  1.256050   0.342641
  1.256300   0.342453
  1.256550   0.340808
  1.256800   0.339321
  1.257050   0.339286
  1.257300   0.340098
  1.257550   0.341759
  1.257800   0.343459
  1.258050   0.344510
  1.258300   0.345558
  1.258550   0.346240
  1.258800   0.346269
  1.259050   0.346091
  1.259300   0.346031
  1.259550   0.345845
  1.259800   0.345492
  1.260050   0.345745
  1.260300   0.345872
  1.260550   0.345017
  1.260800   0.344360
  1.261050   0.344148
  1.261300   0.343890
  1.261550   0.344037
  1.261800   0.345079
  1.262050   0.345955
  1.262300   0.346542
  1.262550   0.347698
  1.262800   0.348975
  1.263050   0.349595
  1.263300   0.350171
  1.263550   0.351154
  1.263800   0.351520
  1.264050   0.351310
  1.264300   0.351876
  1.264550   0.352972
  1.264800   0.354067
  1.265050   0.354914
  1.265300   0.355267
  1.265550   0.355412
  1.265800   0.356417
  1.266050   0.357997
  1.266300   0.358548
  1.266550   0.358522
  1.266800   0.358699
  1.267050   0.358506
  1.267300   0.358228
  1.267550   0.358401
  1.267800   0.358902
  1.268050   0.359403
  1.268300   0.360272
  1.268550   0.361595
  1.268800   0.362917
  1.269050   0.364321
  1.269300   0.365643
  1.269550   0.367047
  1.269800   0.368822
  1.270050   0.370474
  1.270300   0.371590
  1.270550   0.371964
  1.270800   0.371924
  1.271050   0.372834
  1.271300   0.374610
  1.271550   0.376016
  1.271800   0.377008
  1.272050   0.378289
  1.272300   0.379571
  1.272550   0.380480
  1.272800   0.381266
  1.273050   0.382299
  1.273300   0.382836
  1.273550   0.382834
  1.273800   0.383494
  1.274050   0.384567
  1.274300   0.385682
  1.274550   0.386547
  1.274800   0.386295
  1.275050   0.385751
  1.275300   0.385786
  1.275550   0.385407
  1.275800   0.384695
  1.276050   0.384603
  1.276300   0.384718
  1.276550   0.384293
  1.276800   0.384323
  1.277050   0.385058
  1.277300   0.385210
  1.277550   0.384657
  1.277800   0.383812
  1.278050   0.382343
  1.278300   0.380374
  1.278550   0.378818
  1.278800   0.377220
  1.279050   0.375745
  1.279300   0.375597
  1.279550   0.376238
  1.279800   0.376837
  1.280050   0.377352
  1.280300   0.377491
  1.280550   0.376340
  1.280800   0.374231
  1.281050   0.371830
  1.281300   0.369384
  1.281550   0.368102
  1.281800   0.368358
  1.282050   0.368820
  1.282300   0.368990
  1.282550   0.369034
  1.282800   0.368535
  1.283050   0.367535
  1.283300   0.366991
  1.283550   0.366863
  1.283800   0.366191
  1.284050   0.365018
  1.284300   0.363801
  1.284550   0.362166
  1.284800   0.360071
  1.285050   0.358474
  1.285300   0.358209
  1.285550   0.358442
  1.285800   0.358339
  1.286050   0.358194
  1.286300   0.358338
  1.286550   0.358147
  1.286800   0.357371
  1.287050   0.356093
  1.287300   0.355230
  1.287550   0.356115
  1.287800   0.357666
  1.288050   0.358256
  1.288300   0.357468
  1.288550   0.356262
  1.288800   0.355887
  1.289050   0.356553
  1.289300   0.358216
  1.289550   0.359378
  1.289800   0.358537
  1.290050   0.356192
  1.290300   0.353763
  1.290550   0.351665
  1.290800   0.350356
  1.291050   0.350588
  1.291300   0.351110
  1.291550   0.351421
  1.291800   0.352230
  1.292050   0.353203
  1.292300   0.353592
  1.292550   0.353811
  1.292800   0.354028
  1.293050   0.352827
  1.293300   0.350541
  1.293550   0.349004
  1.293800   0.348422
  1.294050   0.348880
  1.294300   0.349668
  1.294550   0.349872
  1.294800   0.350157
  1.295050   0.351313
  1.295300   0.352759
  1.295550   0.353537
  1.295800   0.354770
  1.296050   0.355917
  1.296300   0.355482
  1.296550   0.354963
  1.296800   0.355522
  1.297050   0.356744
  1.297300   0.358462
  1.297550   0.361051
  1.297800   0.363470
  1.298050   0.365014
  1.298300   0.366223
  1.298550   0.366891
  1.298800   0.366561
  1.299050   0.365896
  1.299300   0.365604
  1.299550   0.365932
  1.299800   0.367212
  1.300050   0.367908
  1.300300   0.367526
  1.300550   0.367183
  1.300800   0.366631
  1.301050   0.365913
  1.301300   0.366435
  1.301550   0.368280
  1.301800   0.370123
  1.302050   0.371219
  1.302300   0.371734
  1.302550   0.371628
  1.302800   0.371356
  1.303050   0.371207
  1.303300   0.371264
  1.303550   0.371815
  1.303800   0.372407
  1.304050   0.373122
  1.304300   0.374124
  1.304550   0.374838
  1.304800   0.375014
  1.305050   0.375149
  1.305300   0.375778
  1.305550   0.376695
  1.305800   0.377653
  1.306050   0.378323
  1.306300   0.378580
  1.306550   0.379126
  1.306800   0.380166
  1.307050   0.380424
  1.307300   0.379944
  1.307550   0.379957
  1.307800   0.380012
  1.308050   0.380027
  1.308300   0.380331
  1.308550   0.381210
  1.308800   0.383156
  1.309050   0.385923
  1.309300   0.388035
  1.309550   0.388465
  1.309800   0.388528
  1.310050   0.388552
  1.310300   0.388209
  1.310550   0.388359
  1.310800   0.388838
  1.311050   0.388459
  1.311300   0.388000
  1.311550   0.387992
  1.311800   0.387495
  1.312050   0.386918
  1.312300   0.386791
  1.312550   0.386257
  1.312800   0.385397
  1.313050   0.385315
  1.313300   0.385397
